company,booth,official_description,likely_segment,tabmac_relevance,outreach_priority,why_contact,suggested_pitch_angle
Sedation Systems LLC,1050,Sedations Systems LLC sells nitrous oxide delivery systems to medical offices and hospitals for procedural sedation as well as for treatment of TRD (Treatment Resistant Depression ) patients. Sedation Systems LLC is the only nitrous equipment supplier that includes an FDA-Cleared nitrous scavenger to eliminate all the exhaled nitrous so as to protect the office staff from chronic exposure.,Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Serenity Mental Health Centers,757,"Serenity Mental Health Centers was founded in 2017 to address the growing need for more effective treatment options for mental health conditions like anxiety, depression, and bipolar disorder. What started as a single clinic has now expanded into a network of clinics across the United States, offering compassionate care to communities nationwide. Our mission at Serenity is simple: to provide accessible, personalized mental health care tailored to each individual. We are committed to staying ahead of the curve in medical research, offering scientific treatments that go beyond traditional, one-size-fits-all approaches. Our team of experienced psychiatrists specializes in the latest, most effective treatments for mental health conditions, ensuring you receive the highest level of care. At Serenity, we believe in a holistic approach to healing. When you choose us, you’ll work closely with a dedicated psychiatrist who will take the time to truly understand your unique needs, concerns, and experiences. We’re here to guide you on your journey to recovery, offering unwavering support every step of the way.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Sheppard Pratt,949,"Sheppard Pratt is the largest private, nonprofit provider of mental health, substance use, developmental disability, special education, and social services in the country. Sheppard Pratt provides services across a comprehensive continuum of care, spanning both hospital- and community-based resources, and has been innovating the field through research, best practice implementation, and a focus on improving the quality of mental health care.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Sierra Tucson,1446,"Located in Tucson, Arizona, Sierra Tucson is the premier residential and outpatient treatment center in the nation treating substance use disorder, trauma-related issues, mood and anxiety, and co-occurring disorders.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
SigmaStim / MECTA,1841,"SigmaStim currently sells the most innovative Electroconvulsive Therapy (ECT) Device on the market, the SigmaStim Sigma. With an intuitive color touchscreen and up to seven monitoring channels, the SigmaStim Sigma is the sum of all ECT modalities in one device.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Somatics LLC,1730,"In 1938 the first patient ever to receive ECT made a full recovery. Now, over 90 years later, ECT remains an established treatment for severe depression. The Thymatron device is an FDA-cleared medical device intended to treat catatonia or a severe major depressive episode associated with major depressive or bipolar disorder in patients age 13 years and older who are treatment-resistant or who require a rapid treatment response (Device class II). The Thymatron® instrument's positive safety profile derives from its multiple redundant levels of error protection and operating efficiency. Several proprietary computer methods in the Thymatron® instrument automatically provide optimal stimulus delivery, seizure quality analysis, and seizure endpoint determination. This information is printed in a concise end-of-treatment report.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
SonderMind,347,"SonderMind helps licensed therapy and psychiatry providers build sustainable practices—without the administrative burden of private practice. As part of a nationwide network of 16,000+ clinicians, you’re matched with clients who fit your expertise while we handle insurance, billing, and operational complexity. You stay in control of your schedule, caseload, and clinical decisions, with flexible options that work for your life. With SonderMind, you gain a trusted, clinician-first partner expanding access to high-quality mental health care across the country.",Healthtech/EHR/practice software,"Strong hospitality fit: healthtech/ehr/practice software exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Sonomind,KIOSK 1,"Sonomind is a medical device company specializing in non-invasive brain stimulation utilizing low-intensity focused ultrasound to treat drug-resistant depression and other neurological and psychiatric conditions. This portable device is the first to deliver precision transcranial ultrasound stimulation that is able to penetrate deep brain structures in an accurate, targeted and non-invasive manner. A custom-designed acoustic lens for each patient delivers low-intensity focused ultrasound, enabling ultrasound waves to pass through the skull and compensate for any distortion upon entering the brain. Located in Paris, France, Sonomind has a staff of ten, headed by CEO Jeremy Bercoff. The company leverages 25 years of research undertaken by Profs. Mickael Tanter and Jean-François Aubry at the Institut Physique pour la Médecine (Inserm, ESPCI Paris - PSL, CNRS).",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Soterix Medical,1438,"Soterix Medical is the leader in Noninvasive Brain Stimulation and synergistic technologies. SMI offers a comprehensive repetitive Transcranial Magnetic Stimulation (rTMS) solution with SPRY™ TMS, featuring unmatched specifications, exceptional portability, and full patient management. The Soterix Medical SPRY POINT™ rTMS Navigation System provides accurate and precise navigation for the SPRY™ TMS system, along with compatibility for other leading rTMS systems on the market. SMI also offers a range of stimulation (electrical and ultrasound-based), monitoring (EEG, fNIRS), and diagnostic (EMG) solutions.",Neuromodulation/medical device,"Strong hospitality fit: neuromodulation/medical device exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
"Sound Medical Evaluators, Inc.",1962,,Practice services/marketing,Moderate hospitality fit: practice services/marketing exhibitor may need casual team meals or small-group restaurant help.,Medium,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
Springer Nature,948,"Springer is part of Springer Nature, a leading scientific, technical and medical publisher, providing researchers with quality content through innovative information, products and services. Our extensive eBook collections and open access programs support researchers across the sciences and humanities. Every day our books, journals, platforms, and technology solutions reach millions of people; helping researchers to uncover new ideas and share their discoveries, health professionals to stay at the forefront of medical science, and educators to advance learning. Visit our booth to learn about the benefits of publishing with us and to browse our titles on display.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
"Supernus Pharmaceuticals, Inc.",1746,"Supernus Pharmaceuticals, Inc. is a specialty pharmaceutical company focused on developing and commercializing products for the treatment of CNS diseases. Our expertise in product development has been built over the past 30 years - fueling the success of over 10 widely recognized products. We are dedicated to the goal of improving the treatment of CNS disorders, including ADHD, epilepsy, migraine, and Parkinson’s disease.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Sutter Health,440,"Sutter Health is a leading healthcare organization that provides high-quality, patient-centered care to communities in Northern California as well in Santa Barbara and the Oregon Coast. With a network of hospitals, clinics, and physicians, Sutter's divisions offer a wide range of services and specialties to meet the diverse needs of its patients. Sutter's commitment to innovation and collaboration drives their success in delivering exceptional care and improving the health of their communities. To view current opportunities check us out at: https://www.sutterhealth.org/physician-opportunities",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
Talkiatry,548,"Talkiatry is providing high-quality, in-network, outpatient psychiatric care throughout the United States. We improve patient access and outcomes through responsible innovation while benefiting physicians and insurers. We offer providers remote, telepsychiatry opportunities. Curious? Let’s connect! Be sure to stop by booth 1610 or email clinicalcareers@talkiatry.com for more information.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
TD Screen by Videra Health,1440,"TDScreen is the first automated, video based, AI-enabled solution on the market to screen for Tardive Dyskinesia. TDScreen is available to providers for free use with their patients. Employing advanced AI video technology, TDScreen efficiently assesses and quantifies the risk of Tardive Dyskinesia in less than 5 minutes. The resulting score generated by this assessment can aid in clinical decision-making and management strategies.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Telecare,439,"Telecare is a 59-year-old family- and employee-owned organization devoted to the recovery of individuals who are most in need, those with complex behavioral health challenges. We work on systemic solutions with our county, state, and health plan partners in California, Washington, Oregon, Arizona, and Nebraska. Telecare’s mission is to deliver excellent and effective behavioral health services that engage individuals with complex needs in recovering their health, hopes, and dreams. We are uniquely qualified to deliver successful results for the clients and communities we serve because of our comprehensive array of inpatient and outpatient services, our diverse professional workforce of more than 5,000 employees, our recovery-centered clinical system, and our track record of public/private partnership over decades. In an environment where new mental health approaches are needed to address the growing public crisis, we are committed to advancing innovative approaches to care, scaling best practices, and supporting continuous learning and improvement.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Teva Pharmaceuticals,1257,"Teva Pharmaceuticals is a global leader in generic medicines and biopharmaceuticals. Building on more than a century-old legacy, Teva delivers high-quality products to patients in nearly every therapeutic area, has an established presence in generics, specialty, OTC and API, a fully integrated R&D function, strong operational base and global infrastructure and scale.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
The Catatonia Foundation,1839,"The Catatonia Foundation (TCF) is a 501(c)(3) nonprofit organization dedicated to improving recognition, access to treatment, and outcomes for individuals with catatonia across the lifespan. Catatonia is a serious but treatable neuropsychiatric syndrome that occurs in mood disorders, psychotic disorders, autism and other neurodevelopmental disorders, medical conditions, and other settings. Despite well-established, first-line treatments — including benzodiazepines and electroconvulsive therapy (ECT) — catatonia remains widely under-recognized and inconsistently treated across psychiatric and medical environments. TCF works to close this gap through clinician education, research collaboration, patient education, patient advocacy education, and long-term systems change. Our mission is to work toward a future in which every person with catatonia receives timely recognition and appropriate first-line treatment. We develop accessible, clinically grounded educational resources for clinicians and families, providing practical guidance on recognition, diagnosis, and treatment considerations. We engage residency programs, professional organizations, and interdisciplinary healthcare teams to strengthen training and increase clinical confidence in identifying the full spectrum of presentations of catatonia across inpatient, outpatient, emergency, pediatric, geriatric, and general medical settings. In collaboration with psychiatrists, neurologists, emergency physicians, pediatric specialists, and researchers, TCF works to identify persistent knowledge gaps and structural barriers to care, and to translate those findings into targeted educational initiatives, clinician resources, and collaborative dialogue. We are working to improve clarity and consistency in terminology, encourage stronger integration of catatonia education into mainstream psychiatric training, and promote improved data collection to better understand prevalence, presentation, and outcomes. Catatonia occurs across diagnostic and medical contexts — yet expertise remains limited. There are very few clinicians nationally with meaningful experience in catatonia, and access to those clinicians is limited. This reflects a broader systemic gap between the need for informed, timely care and the availability of experienced providers. Patients frequently encounter delayed recognition, fragmented treatment pathways, and avoidable complications — even though appropriate intervention often produces rapid and significant improvement. TCF addresses these challenges by strengthening clinical education, promoting collaboration across disciplines, and equipping patients and families with reliable information. We provide structured educational tools to help patients understand catatonia and navigate healthcare systems effectively. We also provide advocacy education that helps families communicate clearly with providers and advocate for timely evaluation and appropriate treatment. We believe meaningful progress requires sustained collaboration — across disciplines, institutions, and lived experience — to improve recognition, strengthen systems of care, and advance more timely and effective treatment wherever patients present.",Association/nonprofit,Limited hospitality fit: association/nonprofit exhibitor is less likely to buy restaurant or event support.,Low,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
The Menninger Clinic,2042,"The Menninger Clinic is a non-profit nationally ranked leader in psychiatric care affiliated with Baylor College of Medicine, providing a full continuum of mental health services for adolescents and adults. For more than a century, Menninger has been a trusted resource for individuals and families seeking expert care when mental health concerns feel complex, persistent, or difficult to resolve. We specialize in serving individuals with complex mental health needs, including mood and anxiety disorders, trauma-related conditions, personality disorders, substance use disorders, co-occurring disorders, and treatment-resistant illnesses. Menninger is often a meaningful next step for individuals who have not experienced lasting improvement with prior treatment, those seeking deeper clarity around their diagnosis, or individuals navigating a psychiatric crisis for the first time. Care at Menninger is grounded in thoughtful psychiatric assessment and individualized treatment planning. Our programs are designed to meet individuals where they are in their recovery journey, offering varying levels of structure and support based on clinical need. Treatment options include inpatient and residential care, as well as step-down and transitional levels of care that help individuals gradually build stability, skills, and independence. Our integrated continuum allows individuals to transition thoughtfully between levels of care while maintaining clinical continuity and therapeutic momentum. Onsite specialized services, including brain stimulation therapies and sleep medicine, further enhance our ability to individualize treatment and address co-occurring clinical needs that may impact recovery. Our expert interdisciplinary clinical teams include psychiatrists, psychologists, social workers, therapists, nurses, and other mental health professionals who work collaboratively to deliver coordinated, evidence-based treatment. In addition, we work in collaboration with patients, families, and referring clinicians to ensure shared understanding, continuity of care, and alignment around immediate goals and long-term recovery. At Menninger, treatment extends beyond symptom management. We focus on helping individuals gain insight into their mental health, strengthen coping strategies, improve daily functioning, and develop the skills necessary for sustained recovery beyond treatment. Through compassionate support and clinical expertise, we help individuals move forward with greater clarity, confidence, and hope, supporting meaningful progress and improved quality of life.",Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
the Saffron Solution,1965,"the Saffron Solution is a next-generation, all-in-one operating system designed to simplify and scale modern psychiatric practices—especially for clinicians delivering care in hybrid or fully remote environments. At its core, the Saffron Solution replaces fragmented, siloed tools with a fully integrated, zero-cost technology stack that seamlessly wraps around your existing EHR and VoIP systems. Instead of managing multiple vendors for scheduling, patient communication, billing coordination, analytics, and online presence, psychiatrists gain access to 45+ connected applications working together in one unified platform. What makes the Saffron Solution fundamentally different is not just the technology—but the human layer built into it. Every practice is supported by a dedicated, multilingual patient engagement officer who acts as an extension of your team. From answering calls and managing appointments to handling follow-ups and patient communication, this concierge-level support ensures that nothing falls through the cracks—while maintaining a high-touch, patient-centered experience. The result is a practice that operates with clarity, efficiency, and consistency. Administrative burden is reduced, front-desk dependency is minimized, and workflows become synchronized across the entire patient journey. At the same time, psychiatrists are empowered to focus on what matters most: delivering high-quality care, building patient relationships, and growing their practice without burnout. In addition, the Saffron Solution includes a fully optimized, zero-cost website and digital presence, enabling practices to attract, engage, and convert patients more effectively in today’s digital-first landscape. Built with HIPAA-compliant infrastructure and designed for real-world clinical workflows, the Saffron Solution is not another tool—it is a complete practice enablement platform. For psychiatrists looking to reduce operational complexity, enhance patient engagement, and scale sustainably, the Saffron Solution offers a new model: one platform, fully connected, with everything working together—so you can focus entirely on care.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Tmind AI Inc.,1233,"Designed for psychiatry, counseling, social work, and psychology programs, Tmind enables students to practice clinical conversations with lifelike AI patients and receive real-time feedback. Faculty can assign simulations, track progress, and save time on role-play evaluations. With customizable cases and built-in performance analytics, Tmind transforms how future psychiatrists learn, practice, and grow.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Traditions Behavioral Health,433,"Since our inception in 1996, we’ve partnered with public, non-profit and private organizations to stabilize and improve the quality of care, breadth of services, and reliability of recruiting and retaining high-quality, compassionate and committed medical professionals within their behavioral health programs. Our commitment is to foster a dynamic environment where our recruitment and management strategies meet the human touch of compassionate care. At TBH, we recognize that the success of a mental health program hinges on its ability to adapt and thrive amidst changing clinical and regulatory landscapes. That’s why we deliver behavioral health management solutions that are both agile and robust, ensuring a stable foundation of care that can pivot as patient needs and industry standards evolve.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
"U.S. Department of State, Bureau of Medical Services",2032,"The U.S. Department of State, Bureau of Medical Services (MED) safeguards the health and well-being of America’s diplomatic community. MED recruits and assigns psychiatrists to U.S. embassies and consulates worldwide to provide psychiatric services to U.S. diplomats and their eligible family members. The U.S. Department of State provides a rich international experience whether at home or abroad. We offer a workplace that values and rewards leadership, collaboration, innovation, and offers personal and professional development. Each day, our employees make a difference.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
UCSF-Fresno Campus,431,"UCSF Fresno is a branch campus of the UCSF School of Medicine. Established in 1975, UCSF Fresno is located in Fresno, California’s fifth largest city. UCSF Fresno is focused on improving health in the Golden State and its San Joaquin Valley through medical education, patient care, research and community partnerships.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Universal Brain,1533,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Universal Health Services Inc.,638,"Universal Health Services (NYSE: UHS), is one of the nation’s largest and most respected hospital management companies with more than 350 acute care hospitals, behavioral health facilities and ambulatory centers across the U.S., Puerto Rico and the UK. As we continue to grow, we focus on making health a positive and local experience. UHS is currently recruiting psychiatrists nationwide for staff and leadership positions.",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
University of Texas Health Science Center at Houston,1740,"The Louis A. Faillace, MD, Department of Psychiatry & Behavioral Sciences at McGovern Medical School at UTHealth Houston is a team of faculty and staff dedicated to the mission of education, research and patient care. Members of the department continually examine ways to improve our mission — the processes, people and technology involved — and set new standards of excellence, striving for quality improvement.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
US Navy Medical Recruiting,1732,U.S. Navy Medical Corps. Become a leader within the medical world – with financial assistance available. Learn more at the Navy booth or visit navy.com/healthcare.,Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
UW Psychiatry and Behavioral Sciences,547,"As the only academic psychiatry department serving Washington, Wyoming, Alaska, Montana, and Idaho, we are committed to improving access to psychiatric care and consultation throughout the greater Pacific Northwest. Our educational programs include a required medical student clerkship for 260 medical students per year at some 30 sites across the WWAMI region. Learn more: https://psychiatry.uw.edu/",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Valant Medical Solutions,1231,"Valant is the EHR built by behavioral healthcare providers, for behavioral healthcare providers. Valant gives you an integrated solution that allows you to provide better care, run a smoother and more efficient operation, and remain compliant.",Healthtech/EHR/practice software,"Strong hospitality fit: healthtech/ehr/practice software exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Vanda Pharmaceuticals Inc.,1546,Innovate in the service of people's pursuit of happiness.,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Vertical Pharmaceuticals,1738,,Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Vertical Pharmaceuticals Medical Affairs,1739,"Vertical Pharmaceuticals is a specialty pharmaceutical company that develops and markets a growing portfolio of innovative prescription pharmaceutical and dietary supplements. We don’t shy away from the real health needs patients face; we take them head on, so patients get the realworld results they deserve.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Veterans Evaluation Services,1165,"Veterans Evaluation Services, a Maximus company, honors America’s Veterans and transitioning service members by supporting them in the medical disability exam process. VES is a government contractor for the U.S. Department of Veterans Affairs (VA). We provide high-quality, timely reports through fair and objective evaluations performed by trained professionals in a respectful and hospitable environment. Our global network includes 6500+ clinicians and ranges across multiple specialties. VES is continuously working to meet the needs of millions of Veterans we serve annually. Join the VES Network to Grow Your Practice While Serving Veterans Veterans Evaluation Services® is seeking highly qualified healthcare providers to perform medical disability examinations on behalf of the U.S. Department of Veterans Affairs (VA) – on your own schedule, from your office or one of ours. By joining our global network, you can use openings in your schedule to earn additional income while serving those who have served our nation.",Practice services/marketing,Limited hospitality fit: practice services/marketing exhibitor is less likely to buy restaurant or event support.,Low,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
Veterans Health Administration,449,"The Veterans Health Administration is America’s largest integrated health care system, providing care at 1,321 health care facilities, including 172 medical centers and 1,138 outpatient sites of care of varying complexity (VHA outpatient clinics), serving 9 million enrolled Veterans each year.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Vital Dynamics,862,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Vituity,441,"For 50 years, Vituity has been a catalyst for positive change in healthcare. As a physician-led and -owned multispecialty partnership, our 8,000 clinicians care for over 12 million patients each year across over 800 practices. Learn more about joining the team that's transforming care. Visit www.vituity.com.",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
Weatherby Healthcare,530,"Weatherby Healthcare can help get you where you want to go. Since 1995, we’ve leveraged our nationwide network to connect locums professionals with the best jobs. Our team of expert consultants simplify the staffing process through their specialty-focused knowledge of over 100 physicians, PAs, and NPs specialties. In addition to providing competitive pay and malpractice coverage, we assist you with credentialing, licensing, travel, and housing, ensuring that you’re prepared for success. Get the supportive, well-organized attention you need to create the career of your dreams. To learn more, visit www.weatherbyhealthcare.com",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
Wolters Kluwer Health,1049,"Wolters Kluwer provides trusted clinical technology and evidence-based solutions that engage clinicians, patients, researchers, and the next generation of healthcare providers. With a focus on clinical effectiveness, research and learning, safety and surveillance, and interoperability and data intelligence, our proven solutions drive effective decision-making and consistent outcomes across the continuum of care.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
World Sleep Society,1636,"World Sleep Society convenes the world of sleep medicine science, practice, and advocacy. With professional members in over 80 countries, World Sleep Society operates programs in sleep health research, education, and advocacy to advance sleep health worldwide. Learn more about the World Sleep Congress, World Sleep Day, and other global sleep health initiatives at worldsleepsociety.org.",Association/nonprofit,Limited hospitality fit: association/nonprofit exhibitor is less likely to buy restaurant or event support.,Low,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
